dept_code,course_code,course_name,credits,type
AE,AS3020,Aerospace Structures,11,Theory
AE,AS3510,Aero Lab I,5,Lab
AE,AS5210#,Aerodynamic Design,9,Theory
AE,AS5220,Structural Design,12,Lab
AE,AS5190+,Project II,27,Practical
AE,AS5200,Project III,23,Practical
AE,AS6050,Dynamic Fluid Structure Interaction,9,Theory
AE,AS5200*,Project,18,Practical
AE,AS5190#,Project I (DD),20,Practical
AE,AS5990,Micromechanics,9,Theory
AE,AS6520,Mathematics for Aerospace Engineers,9,Theory
AE,AS4590*,Project (Under Honours course),3,Practical
AE,AS6060,Shockwave Dynamics,9,Theory
AE,ID6021,Introduction to Research,0,Oral
AE,AE6999,Special Topics in Aerospace Engineering,9,Oral
AE,AE7999,Special Topics in Aerospace Engineering,9,Oral
AE,AS5010,Aerodynamics and Aircraft Performance,9,Theory
AE,AS2010*,Basic Strength of Materials,11,Theory
AE,AS5020,Aerospace Propulsion,9,Theory
AE,AS5030,Aerospace Structures,12,Theory
AE,AS5200+,Project III,26,Practical
AE,AS2070,Aerospace Structural Mechanics,10,Theory
AE,AS4600*,Project II,27,Practical
AE,AS5150&,M.Tech Project I,4,Practical
AE,AS5212,Design of Supersonic Aircraft,12,Lab
AE,AS5211,Design of Subsonic Aircraft,12,Lab
AE,AS5213,Design of MAVs and UAVs,12,Lab
AE,AE6021,Introduction to Research,0,Oral
AE,AS5070,GIAN 151003L05: Fire Dynamics and Fire Protection,3,Theory
AE,AS5100,Mini Project,12,Practical
AE,AS2100*,Basic Aerospace Engineering Lab,5,Lab
AE,AS2100+,Basic Aerospace Engineering Lab,5,Lab
AE,AS1020*,Fluid Mechanics,11,Theory
AE,AS5012,Dynamics and control of rotorcraft,9,Theory
AE,AS5615,Spacecraft Electric Propulsion,9,Theory
AE,AS5210,Aircraft Design,5,Theory
AE,AS5460,Finite Volume Methods for Hyperbolic PDEs,9,Theory
AE,AS5540,Space Flight Dynamics,9,Theory
AE,AS6011,GIAN Combustion and Flow Diagnostics,6,Theory
AE,AS6012,GIAN 161003G01Micro Renewable Energy Architecture,3,Theory
AE,IL3020,Industrial Lecture,1,Oral
AE,AS5300,Physical Gas Dynamics,9,Theory
AE,AS3520,Aero Lab II,5,Lab
AE,AS5150,M.Tech. Project,38,Practical
AE,AS5150$,M.Tech Project Proposal,4,Practical
AE,AS5190*,Project I- DD,0,Practical
AE,AS2100,Basic Aerospace Engineering Lab,5,Lab
AE,AS3270,Propulsion I,10,Theory
AE,AS5545,Dynamics and Control of Spacecraft,9,Theory
AE,AS3270*,Propulsion I,10,Theory
AE,AS3271,Propulsion II,10,Theory
AE,AS3050,Flight Dynamics II,12,Theory
AE,AS2040,Flight Dynamics I,12,Theory
AE,AS5885,Continuum damage mechanics,9,Theory
AE,AS6345,Multiphase flows in Aerospace Engineering,9,Theory
AE,AS5435,Waves in Fluids,9,Theory
AE,AS5710,Overview of Defence Technologies,9,Theory
AE,AS5190,Project I,9,Practical
AE,AS5621,Design and Analysis of Turbomachines,10,Theory
AE,AS3050+,Flight Dynamics II,12,Theory
AE,AE4730,Modern Methods in Struct. Analysis,9,Theory
AE,AE5360,Space Vehicle Design,9,Theory
AE,AE6240,Advanced Boundary Layer Theory,9,Theory
AE,AE6310,Airplane and  Systems,9,Theory
AE,AS2030,Gas Dynamics,11,Theory
AE,AS2050,Aerodynamics,11,Theory
AE,AS4830,Introduction to Composite Structures,9,Theory
AE,AS4910,Aerospace Lab-II,3,Lab
AE,AS4920,Flight Test Laboratory,3,Lab
AE,AS4930,Introduction to Aerospace Technology,9,Theory
AE,AS4960,Project,6,Theory
AE,AS5120,Labortaory II (Str. Lab),3,Lab
AE,AS5130,Design Project,2,Oral
AE,AS5140,Project,18,Theory
AE,AS5140*,Project,4,Theory
AE,AS5350,Transonic Aerodynamics,9,Theory
AE,AS5360,Advanced Aerodynamics,9,Theory
AE,AS5370,Helicopter Aerodynamics,9,Theory
AE,AS5380,Flight Testing and  Performance Reduction,9,Theory
AE,AS5390,Numerical Methods in Gas Dynamics,9,Theory
AE,AS5800,Seminar,1,Oral
AE,AS5810,Theories of Modern Plate Structures,9,Theory
AE,AS5820,Analysis of Plates and  Shells,9,Theory
AE,AS5830,Approx. Methods in Structural Analysis,9,Theory
AE,AS5840,Thermal Stress Analysis,9,Theory
AE,AS5850,Finite Element Analysis,9,Theory
AE,AS6330,Aero-acoustics,9,Theory
AE,AS6510,Experimental Techniques in Struc. Mech.,9,Theory
AE,AS7100,Introduction to Turbulent Flows,9,Theory
AE,AS4510,Experimental Stes Analysis Lab,3,Lab
AE,AS5011,Compressible Fluid Flows,9,Theory
AE,AS5040,Flight Mechanics,11,Theory
AE,AS5190&,DD Project Proposal,4,Practical
AE,AS5150#,M.Tech. Project,20,Practical
AE,AS5150+,M.Tech. Project,27,Practical
AE,AS5925,Morphing Structures: Analysis and Control,9,Theory
AE,AS6420,Numerical Simulation of Multiphysics problems in Aerospace Engineering,9,Theory
AE,AS5570,Principles of Guidance for Autonomous Vehicles,9,Theory
AE,AS5711,Utilization and procurement of niche technologies in defense,9,Theory
AE,AS2040*,Flight Dynamics I,12,Theory
AE,AS3020*,Aerospace Structures,11,Theory
AE,AS2070*,Aerospace Structural Mechanics,10,Theory
AE,AS6061,GIAN 171003L06 Shockwave Reflection Phenomena,6,Theory
AE,AS5555,Linear time periodic systems: stability and control,9,Theory
AE,AS5560,Dynamical Systems Stability & Bifurcations,9,Theory
AE,AS4600+,Project I,13,Practical
AE,AS4545,Undergraduate Research,9,Practical
AE,AS6350,Electric Aircraft Propulsion,9,Theory
AE,AS6070,Viscous Hypersonic Flows,9,Theory
AE,AS6995,Special Topics in Aerospace Engineering: Combustion and Flow Diagnostics of Diffusion Flames,6,
AE,AS1300,Thermodynamics for Aerospace Engineering,11,Theory
AE,AS2030*,Gas Dynamics,11,Theory
AE,AS2050*,Aerodynamics,11,Theory
AE,AS2080*,Vibrations,10,Theory
AE,AS5410,Grid Generation,9,Theory
AE,AS5420,Introduction to CFD,9,Theory
AE,AS5430,Stability of Shear Flows,9,Theory
AE,AS5550,Aerospace Systems Control and Estimation,9,Theory
AE,AS5610,Rocket Propulsion,9,Theory
AE,AS5880,Mechanics of Damage Tolerance,9,Theory
AE,AS5890,Mechatronics Design,9,Theory
AE,AS5900,Elasticity,9,Theory
AE,AS5910,Aeroeleasticity,9,Theory
AE,AS5970,Structural Dynamics and Aero-elasticity,9,Theory
AE,AS5980,Contact Mechanics and Tribology,9,Theory
AE,AS6010,Hypersonic Flow Theory,9,Theory
AE,AS6030,Experimental Methods in Aero/ Gas Dynami,9,Theory
AE,ID6020,Introduction of Research (Institute Module),0,Theory
AE,AS5201,DD Honors Project,78,Practical
AE,AS6000,Basic Concepts in Aerospace Engineering,12,Theory
AE,AS6020,Introduction to Incompressible Turbulence,9,Theory
AE,AS5192,DD Project,27,Practical
AE,AS2101,Introduction to Aerospace Engineering,5,Theory
AE,AS2101*,Introduction to Aerospace Engineering,5,Theory
AE,AS5450,Wind Turbines,9,Theory
AE,AS6041,Advanced CFD - Eddy Resolving Methods,9,Theory
AE,AS6080,Theory of interior and intermediate ballistics,9,Theory
AE,AS5193,DD Project,38,Practical
AE,AS4580,Viva Voce,1,Theory
AE,ID6020*,Introduction of Research (Institute Module),6,Theory
AE,AS5580,Pseudo-Spectral Methods for Optimal Control,9,Theory
AE,AS6520W,Mathematics for Aerospace Engineers,11,Theory
AE,AS5010W,Aerodynamics and Aircraft Performance,10,Theory
AE,AS5011W,Compressible Fluid Flows,10,Theory
AE,AS5030W,Aerospace Structures,11,Theory
AE,AS5020W,Aerospace Propulsion,10,Theory
AE,AS5040W,Flight Mechanics,12,Theory
AM,AM5014,Microhydrodynamics,9,Theory
AM,ID5200,Introduction of Biomimicry,9,Oral
AM,AM5061,Design of Thermal and Fluid Systems,9,Theory
AM,AM5515,Digital Healthcare Technology and Applications,9,Theory
AM,AM5470,Analysis & Design of Smart Material Structure,9,Theory
AM,AM5420,Project II,30,Practical
AM,AM5360,Composite Structures,9,Theory
AM,ID5080,Complex Networks,12,Theory
AM,AM1100,Engineering Mechanics,10,Theory
AM,AM5460,Physicochemical Hydrodynamics,9,Theory
AM,AM5160,Biomedical Imaging System,9,Theory
AM,AM5420*,Project I,15,Oral
AM,AM5640,Turbulence Modeling,9,Theory
AM,AM6570,Flow Induced Vibrations,9,Theory
AM,AM6590,Turbulent Shear Flows,9,Theory
AM,AM5110,Biomechanics Laboratory,5,Lab
AM,AM6511,System Identification in Vibrating Structures,9,Theory
AM,AM2540,Applied Mechanics Lab,3,Lab
AM,AM5114,Flow and Transport in Heterogenous Porous Media,9,Theory
AM,AM5490*,Project I,5,Practical
AM,AM6512,Application of Molecular Dynamics,9,Theory
AM,AM6513,Advanced Computational Fluid Dynamics,9,Theory
AM,AM5112,Computational Mechanics for Smart Systems,9,Theory
AM,ID6080,Impact Mechanics,9,Theory
AM,ID5060,First Principles tools in Engineering,9,Theory
AM,AM5116,Structural Control,9,Theory
AM,AM6515,Boundary Layer Stability,9,Theory
AM,AM5117,Analytical Methods in Engineering Mechanics,9,Theory
AM,GN1100,Life Skills,0,Theory
AM,AM 5,Analytical methods in applied mechanics,9,Theory
AM,ID5061,Engineering Skills I-fabrication,9,Theory
AM,AM1100A,Engineering Mechanics,10,Theory
AM,AM5290,Dynamics of Structures,9,Theory
AM,ID3030,Emergency Management,9,Theory
AM,AM5119,Physiology for Engineers,9,Theory
AM,AM6517,Foundations of Micro and Nano scale Fluid Mechanics,9,Theory
AM,AM6518,Biophysical aspects of tumor microenvironment.,9,Theory
AM,AM5490,Project II,18,Practical
AM,ID5062,Engineering Skills II: Final Design and development,3,Oral
AM,ID4100,Creative Engineering Project,9,Practical
AM,AM5021,"Materials, Mechanics and Design",9,Theory
AM,AM5040,Introduction to Nanomechanics,9,Theory
AM,AM6190,Cellular structures and mechanics,9,Theory
AM,AM7010,Classics in Neuroscience,9,Theory
AM,GN5002,Discovering Creativity,9,Oral
AM,ID5040,Engineering Plasticity,9,Theory
AM,AM6999,Special Topics in Applied Mechanics,3,Oral
AM,AM7999,Special Topics in Applied Mechanics,3,Oral
AM,AM5020,Biomedical Ultrasonics,9,Theory
AM,AM5050,Biomedical Sensors and Measurements,9,Theory
AM,AM6110,Biofluid Mechanics,9,Theory
AM,AM5490+,Project II,17,Practical
AM,AM5060,Psychophysics,9,Theory
AM,AM5080,High Performance Computing for Engineering Applications,9,Theory
AM,AM6011,Theory of Free Surface Wave motion,9,Theory
AM,AM6291,Computational Structural Dynamics,9,Theory
AM,AM5510,Biomedical Signals and Systems,9,Theory
AM,AM5520,Medical Electronics,9,Theory
AM,AM1101,Engineering Mechanics,10,Theory
AM,AM5011,Virtual Reality Engineering,9,Theory
AM,AM7021,GIAN151003L01: Insect and Bird Aerodynamics- Theory and Methods,1,Theory
AM,AM6021,Introduction to Research,0,Oral
AM,AM57020,GIAN151003L04: Modelling Engineering Turbulent Flows,3,Theory
AM,AM5650,Nonlinear Dynamics,9,Theory
AM,AM5012,Industrial Fluid Dynamics,9,Theory
AM,AM5140,Biomedical Instrumentation,9,Theory
AM,AM5490#,Project II,19,Practical
AM,GN1101,Life Skills 1,0,Theory
AM,GN1102,Life Skills 2,0,Theory
AM,GN6101,Strategies for Professional growth - Getting ready for a corporate life,9,Theory
AM,AM7022,GIAN151003L04:Turbulence Modelling for Engineering Applications,3,Theory
AM,AM7020,GIAN151003L04: Modeling Engineering Turbulent Flows,3,Theory
AM,AM6012,GIAN 151003L06: Turbulence Modelling for Engineering Applications,3,Theory
AM,AM7023,GIAN 161003114: Fluid Vortices: from Vorticity to Differential Geometry,3,Theory
AM,AM 5016,Numerical methods in Biomedical Engineering,9,Theory
AM,AM5017,Statistics for Biomedical Engineers,9,Theory
AM,AM5019`,Advanced BME laboratory,5,Lab
AM,AM5030,Linear Dynamical Systems,9,Theory
AM,AM5440,Engg Fracture Mechanics,9,Theory
AM,AM5010,Biomechanics,9,Theory
AM,AM5016,Numerical methods in Biomedical Engineering,9,Theory
AM,AM5018,Experimental Techniques in Fluid Mechanics,9,Theory
AM,AM5019,Advanced BME laboratory,5,Lab
AM,AM5023,Physiological measurements and instrumentation Laboratory,5,Lab
AM,AM1100B,Engineering Mechanics,10,Theory
AM,AM1100C,Engineering Mechanics,10,Theory
AM,AM1100D,Engineering Mechanics,10,Theory
AM,AM1100E,Engineering Mechanics,10,Theory
AM,AM1100F​,Engineering Mechanics,10,Theory
AM,AM1100F,Engineering Mechanics,10,Theory
AM,AM5420#,M.Tech. Project,40,Practical
AM,AM5600,Computational Methods in Mechanics,9,Theory
AM,AM5240,Experimental Solid Mechanics,9,Theory
AM,AM5024,Introduction to Healthcare technology,9,Theory
AM,GN6106,"Happiness, Habits and Success",9,Theory
AM,ID3100,First level Creative Engineering Project,12,Practical
AM,GN6105,Art of Teaching - A practical approach,9,Oral
AM,AM5550,Vorticity Dynamics,9,Theory
AM,AM5199,"DIY Inelastic Modeling, Analysis and Design",9,Theory
AM,AM5150,Biomedical Nanotechnology,9,Theory
AM,ID6022,Introduction to Ultrasonics,9,Theory
AM,AM6015,GIAN 171003L02: Large Eddy Simulation of Turbulence: Fundamentals and Applications,6,Theory
AM,AM5801,Computational Laboratory,5,Lab
AM,AM5190,Haptics in Biomedical Engineering,9,Theory
AM,AM6017,Geothermal energy,9,Theory
AM,ID6105,"Computational Tools: Algorithms, Data Structures and Programs",9,Theory
AM,AM5200,Summer Industrial Internship,15,Practical
AM,AM5210,Summer Project,15,Practical
AM,AM5220,Summer Project,10,Practical
AM,AM5230,Clinical Practice Observations in Hospitals,5,Lab
AM,GN6107,Cross Cultural Understanding,9,Theory
AM,AM2530,Foundations of Fluid Mechanics,10,Theory
AM,AM5100,Biomedical Laser Instrumentation,9,Theory
AM,AM5120,Biomaterials,9,Theory
AM,AM5130,Quantitative Physiology,9,Theory
AM,AM1100+,Engineering Mechanics,12,Theory
AM,AM5420+,Project I,20,Practical
AM,AM5401,Project I,30,Practical
AM,AM5028,Clinical Practice Observations in Hospitals,5,Oral
AM,AM4020,Non equilibrium Gas Dynamics and Molecular Simulation,9,Theory
AM,GN6108,Facilitating Life Skills Learning,6,Oral
AM,AM6016,Convective Transport Processes,9,Theory
AM,AM6516,Neuromechanics of Human Movement,12,Theory
AM,ID5070,Energy Economics,9,Theory
AM,AM5850,Advanced Finite Element Methods,9,Theory
AM,AM5402,Project II,40,Practical
AM,AM5400,Experiemental Stress Analysis Lab,12,Lab
AM,AM5820,Wind Tunnel and Numerical Experiments,12,Lab
AM,AM5035,High Performance Computing Lab,5,Lab
AM,AM2200,Strength of Materials,10,Theory
AM,AM6550,Advanced Gas Dynamics,9,Theory
AM,ID5290,Project I,15,Practical
AM,ID5291,Project II,30,Practical
AM,ID5292,Project III,40,Practical
AM,ID5390,Project I,15,Practical
AM,ID5391,Project II,30,Practical
AM,ID5392,Project III,40,Practical
AM,ID5101,Innovative Entrepreneur - 1 Customer Discovery,9,Oral
AM,AM5570,Introduction to Turbulence,9,Theory
AM,AM5620,Theory of Plates and Shells,9,Theory
AM,AM5630,Foundation of Computational Fluid Dynamics,9,Theory
AM,AM5810,Computational Lab,6,Lab
AM,AM5530,Advanced Fluid Mechanics,9,Theory
AM,AM5450,Fundamentals of Finite Element Analysis,9,Theory
AM,AM5390,Advanced Solid Mechanics,9,Theory
AM,GN6110,The Purposeful Engineer,9,Oral
AM,GN6111,Engineers - Saving Lives,9,Oral
AM,AM6525,Virtual Instrumentation for biomedical engineers,15,Theory
AM,AM5113,Atomization and Sprays,9,Theory
AM,ID5102,The Innovative Entrepreneur 2: Launching your venture,9,Theory
AM,AM5540,Irrotational flow theory and applications,9,Theory
AM,AM5340,Stochastic Processes in Mechanics,9,Theory
AM,AM5013,Operating Theater Instrumentation and Surgical Technology,9,Theory
AM,AM5015,Regulations and Standards in Medical Device Technology,9,Theory
AM,AM5022,Modelling and Simulation Laboratory,5,Lab
AM,AM5480,Seminar,3,Oral
AM,ID5090,Data Science of Complex Systems,12,Theory
AM,AM6535,Medical Imaging Aided Computational Bio-Fluid Dynamics,9,Theory
AM,ID5892,Project III,40,Practical
BT,BT6250,Current Topics in Systems Biology,9,Theory
BT,IL3510,Industrial Lecture,1,Oral
BT,BT6540,Introduction to Molecular Biology and Genetics,9,Theory
BT,BT5999,Seminar,3,
BT,BT2010,Microbiology,9,Theory
BT,BT5180,Biological Vision,9,Theory
BT,BT5550,Project Seminar,1,
BT,NUS240,Biochemical Engineering,9,Theory
BT,NUS250,Molecular Biophysics,12,Theory
BT,NUS260,Evolution and Comparative Genomics,12,Theory
BT,BT4500,Viva Voce,6,Practical
BT,BT5260,Plant Cell Bioprocessing,9,Theory
BT,BT1000,Introduction to Biological Sciences & Engineering,9,Theory
BT,BT5320,Medicinal Chemistry and Drug Design,9,Theory
BT,BT7230,Advanced Molecular and Cellular Biology,9,Theory
BT,BT6240,Bioprocess Modelling and Simulation,9,Theory
BT,BT5270,Principles of Neuroscience,9,Theory
BT,BT7210,Protein Structure and Functions,9,Theory
BT,BT6310,Cancer Biology,9,Theory
BT,BT4240,Food Biotechnology,9,Theory
BT,BT4260,Spectroscopic Methods in Biotechnology,9,Theory
BT,BT1022,Organic Chemistry in Biology,12,Theory
BT,BT6210,Statistical Mechanics in Biology,9,Theory
BT,BT3230,Biotechnology for Healthcare,9,Theory
BT,BT2012,Genetics,10,Theory
BT,BT2112,Microbiology Lab,8,Lab
BT,BT3240,Metabolic Regulation,9,Theory
BT,BT2021,Principles of Cell and Molecular Biology,9,Theory
BT,BT2041,Biological Rate Processes,11,Theory
BT,BT2121,Genetic Engineering Laboratory,8,Lab
BT,BT3031,Biosensors and Instrumentation,9,Theory
BT,BT3020,Structural Biology,9,Theory
BT,BT5011,Biomaterials Engineering,9,Theory
BT,BT5021,Metabolic Engineering,9,Theory
BT,BT3110,Biomolecular Analysis Laboratory,6,Lab
BT,BT2022,Biostatistics,10,Theory
BT,BT2082,Cell Biology,9,Theory
BT,BT2122,Biochemistry Laboratory,8,Lab
BT,BT3012,Molecular Biology,10,Theory
BT,BT3052,Membrane Biology & Signal Transduction,9,Theory
BT,BT3072,Immunology,9,Theory
BT,BT3022,Genomics and Proteomics,10,Theory
BT,BT3122,Molecular Biology Laboratory,8,Lab
BT,BT5360,Reactive Species in Medical and Related Technologies,9,Theory
BT,BT5370,Fermentation Technology,9,Theory
BT,BT5380,Technical communication in Biology,9,
BT,BT4310,Current Topics in Synthetic Biology,9,Theory
BT,BT5390,Introduction to Developmental Biology,9,Theory
BT,BT5410,Infection Biology,9,Theory
BT,BT3040,Bioinformatics,11,Theory
BT,BT5420,Computer Simulations of Biomolecular Systems,9,Theory
BT,BT3032,Evolutionary Biology,9,Theory
BT,BT5430,Drug Delivery,9,Theory
BT,BT5250,Synthetic Biology,9,Theory
BT,BT5330,Human Physiology,9,Theory
BT,BT5012,Enzyme Structure and Mechanisms,9,Theory
BT,BT5130,Tissue Engineering,10,Theory
BT,BT5240,Computational Systems Biology,10,Theory
BT,BT5440,Quantitative and Population Genetics,9,Theory
BT,BT2020,Numerical methods for biology,11,Theory
BT,BT4210,Unit Operations in Biochemical Engg.,9,Theory
BT,BT2042,Fundamentals of Biophysical Chemistry,10,Theory
BT,BT2062,Analytical Techniques in Biotechnology,10,Theory
BT,BT5500,Viva Voce,2,Practical
BT,BT3051,Data Structures and Algorithms for Biology,11,Theory
BT,BT6220,Theoretical Biophysics,9,Theory
BT,BT2061,Biochemical Thermodynamics,11,Theory
BT,BT5051,Transport Phenomena in Biological Systems,10,Theory
BT,BT5071,Bioreactor Design and Analysis,10,Theory
BT,BT5041,Downstream Processing,10,Theory
BT,BT302,Techniques in Biotechnology,3,Theory
BT,BT4050,Animal Biotechnology,9,Theory
BT,BT6780,Human Genetics,9,Theory
BT,BT6230,Vascular Biology,9,Theory
BT,BT6270,Computational Neuroscience,9,Theory
BT,BT4230,Environmental Biotechnology,9,Theory
BT,BT5340,Protein Folding and Stability,9,Theory
BT,IL4920,Industrial Lecture (Pass/Fail),1,Oral
BT,BT4121,Biomaterials Laboratory,5,Lab
BT,BT5941,Comprehensive Viva Voce,2,Practical
BT,BT4122,Chemical Biology Laboratory,8,Theory
BT,BT5942,Comprehensive Viva Voce,2,Practical
BT,BT6999,Special Topics in Biotechnology,9,Oral
BT,BT7999,Special Topics in Biotechnology,9,Oral
BT,BT4110,Computational Biology Laboratory,6,Lab
BT,BT6320,Protein Interactions: Computational Techniques,9,Theory
BT,BT5121,Bioprocess Engineering Lab 2,3,Lab
BT,BT2111,Microbiology and Biochemistry Lab,8,Lab
BT,BT2030,Biochemistry,12,Theory
BT,BT5111,Bioprocess Engineering Lab 1,3,Lab
BT,BT5031,Thermodynamics in Biochemical Engineering,10,Theory
BT,BT3032+,Evolutionary Biology,9,Theory
BT,BT4811,Undergraduate Research in Biological Sciences,9,Practical
BT,BT4812,Undergraduate Research in Biological Engineering,9,Practical
BT,BT4813,Undergraduate Research in Computational Biology,9,Practical
BT,BT4814,Undergraduate Research in Chemical Biology,9,Practical
BT,BT5450,Data-driven Modeling and Optimization of Bioprocesses,10,Theory
BT,BT7220,Advanced Biochemistry,9,Theory
BT,BT5460,Biotechnology for Biofuels,9,Theory
BT,BT5040,Advanced Bioprocess Technology,9,Theory
BT,BT5470,Animal Biotechnology,9,Theory
BT,BT5170,Membrane Biology and Signal Transduction,9,Theory
BT,BT1010,Life Sciences,9,Theory
BT,BT4280,IPR Issues in Bio-technology,9,Theory
BT,BT5230,Molecular Modeling and Drug Design,9,Theory
BT,BT5210,Bioprocess Control,9,Theory
BT,BT4270,Bioethics,9,Theory
BT,BT7001,Advanced Topics in Cell Signaling,9,Theory
BT,BT6290,Molecular Basis of Diseases,9,Theory
BT,BT5701,Biological Engineering DD Project (Phase I),25,Practical
BT,BT5702,Biological Engineering DD Project (Phase II),20,Practical
BT,BT5703,Biological Engineering DD Project (Phase III),40,Practical
BT,BT5801,Biological Sciences DD Project (Phase I),25,Practical
BT,BT5802,Biological Sciences DD Project (Phase II),20,Practical
BT,BT5803,Biological Sciences DD Project (Phase III),40,Practical
BT,BT5933,MTech Bioprocess Engineering Project III,40,Practical
BT,BT5932,MTech Bioprocess Engineering Project II,40,Practical
BT,BT5931,MTech Bioprocess Engineering Project I,20,Practical
BT,BT3041,Analysis and Interpretation of Biological Data,10,Theory
BT,BT3121,Bioprocess Engineering Laboratory,6,Lab
BT,BT3900,Industrial Training (Summer),0,Oral
BT,BT6021,Introduction to Research,0,Oral
BT,BT6910,Project,20,Practical
BT,BT5480,Stem cells and Regenerative Medicine,9,Theory
BT,BT5490,Molecular Epigenetics,9,Theory
CE,CE4010,Construction Project Management,10,Theory
CE,CE5215,Concrete Pavement Technology,9,Theory
CE,CE4420,Introduction to GIS and Remote Sensing,10,Theory
CE,CE6030,Construction economics and finance,9,Theory
CE,CE5680,Soil Structure Interaction Analysis,9,Theory
CE,CE5815,Introduction to Computational Geomechanics,9,Theory
CE,CE4720,Computer Appls. in Traffic & Highway Engg,9,Theory
CE,CE5910,Public Transportation,9,Theory
CE,CE6840,Traffic Flow Theory,9,Theory
CE,CE4810,Air Pollution Control & Solid Waste Management,9,Theory
CE,CE6180,Environmental Impact Assessment,9,Theory
CE,CE6121,Project - Summer term (Building Technology and Construction Management),20,Practical
CE,CE6122,Project - Odd semester (building technology and construction management),28,Practical
CE,CE6491,Project - Summer Term (Hydraulics and Water Resources Engineering),20,Practical
CE,CE6432,Project - Odd semester (Geotechnical Engineering),25,Practical
CE,CE2330,Civil Engineering Materials and Construction,9,Theory
CE,CE6431,Project - Summer term (Geotechnical Engineering),20,Practical
CE,CE6292,Project - Odd semester (Environmental Engineering),30,Practical
CE,CE6291,Project - Summer Term (Environmental Engineering),20,Practical
CE,CE6143,Project - Even semester (construction technology and management),48,Practical
CE,CE6142,Project - Odd semester (construction technology and management),20,Practical
CE,CE6141,Project - Summer (construction technology and management),20,Practical
CE,CE6931,Project - Summer term (Transportation Engineering),20,Practical
CE,CE6692,Project - Odd semester (Structural engineering),32,Practical
CE,CE6691,Project - Summer term (Structural Engineering),20,Practical
CE,CE1020,Functional Design of Buildings,6,Theory
CE,CE5200,Environment Process Lab,8,Lab
CE,CE6010,Construction Contracts & Specifications,9,Theory
CE,CE5225,Numerical techniques in civil engineering,10,Oral
CE,CE6215,Soil-Plant-Atmosphere continuum,9,Theory
CE,CE5235,Understanding climate dynamics and its mysteries,9,Theory
CE,CE5010,Modern Construction Materials,9,Theory
